      X    TV radio newspaper sales
110  25.0  11.0      29.7   7.2
111  90.4   0.3      23.2   8.7
112  13.1   0.4      25.6   5.3
113 255.4  26.9       5.5  19.8
114 225.8   8.2      56.5  13.4
115 241.7  38.0      23.2  21.8
116 175.7  15.4       2.4  14.1
117 209.6  20.6      10.7  15.9
118  78.2  46.8      34.5  14.6
119  75.1  35.0      52.7  12.6
120 139.2  14.3      25.6  12.2
121  76.4   0.8      14.8   9.4
122 125.7  36.9      79.2  15.9
123  19.4  16.0      22.3   6.6
124 141.3  26.8      46.2  15.5
125  18.8  21.7      50.4   7.0
126 224.0   2.4      15.6  11.6
127 123.1  34.6      12.4  15.2
128 229.5  32.3      74.2  19.7
129  87.2  11.8      25.9  10.6
130   7.8  38.9      50.6   6.6
131  80.2   0.0       9.2   8.8
132 220.3  49.0       3.2  24.7
133  59.6  12.0      43.1   9.7
134   0.7  39.6       8.7   1.6
135 265.2   2.9      43.0  12.7
136   8.4  27.2       2.1   5.7
137 219.8  33.5      45.1  19.6
138  36.9  38.6      65.6  10.8
139  48.3  47.0       8.5  11.6
140  25.6  39.0       9.3   9.5
141 273.7  28.9      59.7  20.8
143  43.0  25.9      20.5   9.6
144 184.9  43.9       1.7  20.7
145  73.4  17.0      12.9  10.9
146 193.7  35.4      75.6  19.2
147 220.5  33.2      37.9  20.1
148 104.6   5.7      34.4  10.4
149  96.2  14.8      38.9  11.4
150 140.3   1.9       9.0  10.3
151 240.1   7.3       8.7  13.2
152 243.2  49.0      44.3  25.4
153  38.0  40.3      11.9  10.9
154  44.7  25.8      20.6  10.1
155 280.7  13.9      37.0  16.1
156 121.0   8.4      48.7  11.6
157 197.6  23.3      14.2  16.6
158 171.3  39.7      37.7  19.0
159 187.8  21.1       9.5  15.6
160   4.1  11.6       5.7   3.2
161  93.9  43.5      50.5  15.3
162 149.8   1.3      24.3  10.1
163  11.7  36.9      45.2   7.3
164 131.7  18.4      34.6  12.9
165 172.5  18.1      30.7  14.4
166  85.7  35.8      49.3  13.3
167 188.4  18.1      25.6  14.9
168 163.5  36.8       7.4  18.0
169 117.2  14.7       5.4  11.9
170 234.5   3.4      84.8  11.9
171  17.9  37.6      21.6   8.0
172 206.8   5.2      19.4  12.2
173 215.4  23.6      57.6  17.1
174 284.3  10.6       6.4  15.0
175  50.0  11.6      18.4   8.4
176 164.5  20.9      47.4  14.5
177  19.6  20.1      17.0   7.6
178 168.4   7.1      12.8  11.7
179 222.4   3.4      13.1  11.5
180 276.9  48.9      41.8  27.0
181 248.4  30.2      20.3  20.2
182 170.2   7.8      35.2  11.7
183 276.7   2.3      23.7  11.8
184 165.6  10.0      17.6  12.6
185 156.6   2.6       8.3  10.5
186 218.5   5.4      27.4  12.2
187  56.2   5.7      29.7   8.7
188 287.6  43.0      71.8  26.2
189 253.8  21.3      30.0  17.6
190 205.0  45.1      19.6  22.6
191 139.5   2.1      26.6  10.3
192 191.1  28.7      18.2  17.3
193 286.0  13.9       3.7  15.9
194  18.7  12.1      23.4   6.7
195  39.5  41.1       5.8  10.8
196  75.5  10.8       6.0   9.9
197  17.2   4.1      31.6   5.9
198 166.8  42.0       3.6  19.6
200 149.7  35.6       6.0  17.3
201  38.2   3.7      13.8   7.6
202  94.2   4.9       8.1   9.7
203 177.0   9.3       6.4  12.8
204 283.6  42.0      66.2  25.5
205 232.1   8.6       8.7  13.4
# A tibble: 37 × 5
   Distributors           `# of Releases` `$Worldwide` `Avg Rating` Avg_Revenue
   <chr>                            <dbl>        <dbl>        <dbl>       <dbl>
 1 All Other Distributors             101   1248852865         6.06   12364880.
 2 20th Century                         1    397378150         7.1   397378150 
 3 A24                                  4    224292259         6.99   56073065.
 4 Affirm Films                         1     40392664         8.26   40392664 
 5 Amazon MGM                           3   1248852865         6.93  416284288.
 6 Cineverse                            1    423873817         6.9   423873817 
 7 CJ CGV                               1     21714524         7.1    21714524 
 8 CJ ENM                               1     53453611         6.7    53453611 
 9 Columbia                             3    174973838         6.40   58324613.
10 Constant Film                        1     29663607         5.7    29663607 
# ℹ 27 more rows
# ℹ Use `print(n = ...)` to see more rows

  There are binary versions available but the source versions are later:
            binary source needs_compilation
sys          3.4.2  3.4.3              TRUE
ps           1.7.6  1.9.1              TRUE
askpass      1.2.0  1.2.1              TRUE
processx     3.8.4  3.8.6              TRUE
curl         5.2.1  6.2.2              TRUE
openssl      2.2.0  2.3.2              TRUE
systemfonts  1.1.0  1.2.2              TRUE
textshaping  0.4.0  1.0.0              TRUE
broom        1.0.6  1.0.8             FALSE
ragg         1.3.2  1.4.0              TRUE
reprex       2.1.0  2.1.1             FALSE
rstudioapi  0.16.0 0.17.1             FALSE
xml2         1.3.6  1.3.8              TRUE


The downloaded binary packages are in
	/var/folders/6m/bfm842v57jb1p_tg1x_w975w0000gn/T//RtmpGdnayA/downloaded_packages
Warning in install.packages :
  installation of package ‘sys’ had non-zero exit status
Warning in install.packages :
  installation of package ‘ps’ had non-zero exit status
Warning in install.packages :
  installation of package ‘curl’ had non-zero exit status
Warning in install.packages :
  installation of package ‘systemfonts’ had non-zero exit status
Warning in install.packages :
  installation of package ‘xml2’ had non-zero exit status
Warning in install.packages :
  installation of package ‘askpass’ had non-zero exit status
Warning in install.packages :
  installation of package ‘processx’ had non-zero exit status
Warning in install.packages :
  installation of package ‘textshaping’ had non-zero exit status
Warning in install.packages :
  installation of package ‘openssl’ had non-zero exit status
Warning in install.packages :
  installation of package ‘ragg’ had non-zero exit status
Error in install.packages : Updating loaded packages
Error in install.packages : Updating loaded packages

  There is a binary version available but the source version is later:
      binary source needs_compilation
broom  1.0.6  1.0.8             FALSE

